ID,Item Name,Category,District,BRC,New Qty,Available,Used,Damaged,Consumed,Month,Remarks,Status
ITEM-208,"enamelled copper wire, 27 gauge, 10 meter",Electronic components,ALAPPUZHA,32110100105SH,2,2,0,0,0,N/A,,ACTIVE
ITEM-207,BLDC motor,Electronic components,ALAPPUZHA,32110100105SH,4,4,0,0,0,N/A,,ACTIVE
ITEM-206,7805 voltage regulator,Electronic components,ALAPPUZHA,32110100105SH,20,20,0,0,0,N/A,,ACTIVE
ITEM-205,Micro Vacuum Pump,Electronic components,ALAPPUZHA,32110100105SH,3,3,0,0,0,N/A,,ACTIVE
ITEM-204,"LED Blue, LED Green, LED Red, LED White, LED Yellow,LED -RGB",Electronic components,ALAPPUZHA,32110100105SH,100,100,0,0,0,N/A,,ACTIVE
EC17/06-E,Transistor- 2N2222A,Electronic components,ALAPPUZHA,32110100105SH,100,100,0,0,0,N/A,,ACTIVE
EC17/05-E,Transistor - SL100,Electronic components,ALAPPUZHA,32110100105SH,100,100,0,0,0,N/A,,ACTIVE
EC17/04-E,Transistor - BC 557,Electronic components,ALAPPUZHA,32110100105SH,100,100,0,0,0,N/A,,ACTIVE
EC17/03-E,Transistor - BC 548,Electronic components,ALAPPUZHA,32110100105SH,100,100,0,0,0,N/A,,ACTIVE
EC17/02-E,Transistor - BC 547,Electronic components,ALAPPUZHA,32110100105SH,100,100,0,0,0,N/A,,ACTIVE
EC17/01-E,Transistor - 2N3904,Electronic components,ALAPPUZHA,32110100105SH,100,100,0,0,0,N/A,,ACTIVE
EC15/05-E,Switch (Toggle),Electronic components,ALAPPUZHA,32110100105SH,50,50,0,0,0,N/A,,ACTIVE
EC15/04-E,Switch (Slide),Electronic components,ALAPPUZHA,32110100105SH,50,50,0,0,0,N/A,,ACTIVE
EC15/03-E,Switch (Rocker),Electronic components,ALAPPUZHA,32110100105SH,50,50,0,0,0,N/A,,ACTIVE
EC15/02-E,Switch (Push on-push off),Electronic components,ALAPPUZHA,32110100105SH,50,50,0,0,0,N/A,,ACTIVE
EC15/01-E,Switch (Micro),Electronic components,ALAPPUZHA,32110100105SH,100,100,0,0,0,N/A,,ACTIVE
EC12-E,Buzzer Element,Electronic components,ALAPPUZHA,32110100105SH,20,20,0,0,0,N/A,,ACTIVE
EC01-E,Active Buzzer,Electronic components,ALAPPUZHA,32110100105SH,20,20,0,0,0,N/A,,ACTIVE
EC14/07-E,Resistor 1M,Electronic components,ALAPPUZHA,32110100105SH,100,100,0,0,0,N/A,,ACTIVE
